permit_number;permit_type;filed_date;issued_date;completed_date;current_status;neighborhood;estimated_cost;days_to_issue;days_to_complete;year
201706129024;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Potrero Hill;6500.0;0.0;NULL;2017
M795727;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Golden Gate Park;NULL;0.0;NULL;2017
M795747;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Mission Bay;NULL;0.0;NULL;2017
M795787;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Lone Mountain/USF;NULL;0.0;NULL;2017
201706129029;additions alterations or repairs;2017-06-12;NULL;NULL;filed;Lone Mountain/USF;200000.0;NULL;NULL;2017
M795767;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Outer Richmond;NULL;0.0;NULL;2017
201706129030;otc alterations permit;2017-06-12;2017-06-12;2017-06-12;complete;Bayview Hunters Point;8000.0;0.0;0.0;2017
201706129032;otc alterations permit;2017-06-12;NULL;NULL;filed;Tenderloin;1.0;NULL;NULL;2017
201706129033;additions alterations or repairs;2017-06-12;NULL;NULL;filed;Sunset/Parkside;50000.0;NULL;NULL;2017
201706129035;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Inner Sunset;11000.0;0.0;NULL;2017
201706129036;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;West of Twin Peaks;10800.0;0.0;NULL;2017
201706129034;otc alterations permit;2017-06-12;2017-06-12;2017-06-20;complete;Hayes Valley;12000.0;0.0;8.0;2017
201706129039;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Nob Hill;1.0;0.0;NULL;2017
201706129043;additions alterations or repairs;2017-06-12;NULL;NULL;filed;Pacific Heights;130000.0;NULL;NULL;2017
M795807;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Tenderloin;NULL;0.0;NULL;2017
201706129045;otc alterations permit;2017-06-12;2017-06-12;2017-06-14;complete;Castro/Upper Market;1500.0;0.0;2.0;2017
201706129047;otc alterations permit;2017-06-12;2017-06-12;2017-06-14;complete;Mission Bay;1.0;0.0;2.0;2017
201706129044;additions alterations or repairs;2017-06-12;NULL;NULL;filed;Noe Valley;553472.47;NULL;NULL;2017
M795827;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Pacific Heights;NULL;0.0;NULL;2017
M795847;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Glen Park;NULL;0.0;NULL;2017
201706129051;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Sunset/Parkside;50000.0;0.0;NULL;2017
201706129052;otc alterations permit;2017-06-12;2017-06-27;NULL;issued;Haight Ashbury;12000.0;15.0;NULL;2017
201706129053;otc alterations permit;2017-06-12;NULL;NULL;filed;Bayview Hunters Point;1.0;NULL;NULL;2017
M795867;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Sunset/Parkside;NULL;0.0;NULL;2017
201706129054;new construction wood frame;2017-06-12;NULL;NULL;filed;Nob Hill;2000000.0;NULL;NULL;2017
M795887;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Excelsior;NULL;0.0;NULL;2017
201706129056;additions alterations or repairs;2017-06-12;NULL;NULL;filed;Noe Valley;8400.0;NULL;NULL;2017
201706129064;otc alterations permit;2017-06-12;2017-06-14;NULL;issued;Financial District/South Beach;750.0;2.0;NULL;2017
M795907;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Outer Richmond;NULL;0.0;NULL;2017
201706129068;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;South of Market;4500.0;0.0;NULL;2017
201706129070;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Marina;2000.0;0.0;NULL;2017
201706129073;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Mission;1200.0;0.0;NULL;2017
201706129074;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Marina;120000.0;0.0;NULL;2017
201706129075;otc alterations permit;2017-06-12;2017-06-13;NULL;issued;Excelsior;2500.0;1.0;NULL;2017
201706129031;otc alterations permit;2017-06-12;2017-06-12;2017-07-05;complete;Sunset/Parkside;5000.0;0.0;23.0;2017
M747907;otc alterations permit;2016-12-19;2017-06-12;NULL;issued;Bernal Heights;NULL;175.0;NULL;2016
201706129076;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Outer Richmond;450.0;0.0;NULL;2017
M795947;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Pacific Heights;NULL;0.0;NULL;2017
M749047;otc alterations permit;2016-12-22;2017-06-12;NULL;issued;Bernal Heights;NULL;172.0;NULL;2016
201706129081;otc alterations permit;2017-06-12;2017-06-12;2017-06-22;complete;Financial District/South Beach;37933.0;0.0;10.0;2017
M795967;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Nob Hill;NULL;0.0;NULL;2017
M795987;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Chinatown;NULL;0.0;NULL;2017
